Nom_du_POI,Categories_de_POI,Latitude,Longitude,Adresse_postale,Createur_de_la_donnee,Date_de_mise_a_jour,Contacts_du_POI,Classements_du_POI,Description,CP,Ville,nom_departement,nom_region,nom_membre,raison_sociale
L’École Ritz Escoffier,"['Lieu', ""Point d'intérêt"", 'Site sportif, récréatif et de loisirs']",48.868183,2.3287122,15 place Vendôme,Paris je t'aime - Office de Tourisme,2026-03-20, http://www.ritzescoffier.com/fr-FR,,"Dans l'enceinte prestigieuse du Ritz Paris, l'École Ritz Escoffier célèbre l'art de la cuisine et de la pâtisserie française. Lieu d'enseignement de l'excellence culinaire, elle s'ouvre aux professionnels et amateurs de gastronomie, des débutants aux cuisiniers en devenir. Chaque leçon, prodiguée en français, est traduite en anglais, garantissant une expérience d'apprentissage haut de gamme et accessible à un public international.",75001,Paris,Paris,Île-de-France,Paris,Métropole du Grand Paris
Hôtel Saint-Cyr Étoile,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hôtel', 'Hôtellerie']",48.88047,2.2855706,101 avenue des Ternes,Paris je t'aime - Office de Tourisme,2026-03-20, http://www.hotelstcyr-paris.com/,3 étoiles#Classement officiel des hébergements touristiques,"Idéalement situé en face du Palais des Congrès de la Porte Maillot et à proximité des Champs-Elysées, cet hôtel de charme vous offre un cadre élégant. Les chambres sont confortables et bien aménagées pour garantir la réussite de votre séjour, que ce soit pour affaires ou tourisme. Profitez de services haut de gamme et d'une atmosphère chaleureuse pour une expérience inoubliable à Paris. Réservez dès maintenant pour une expérience unique.",75017,Paris,Paris,Île-de-France,Paris,Métropole du Grand Paris
Les Bulles de Paris,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hôtel', 'Hôtellerie']",48.849174,2.3472314,32 rue des Écoles,Paris je t'aime - Office de Tourisme,2026-03-20, http://www.lesbullesdeparis.com/,4 étoiles#Classement officiel des hébergements touristiques,"Niché au cœur du quartier Latin, l'hôtel Les Bulles de Paris rayonne sur les 5e et 6e arrondissements parisiens. Idéalement situé à deux pas de la Sorbonne, de la rue Saint-Jacques et du boulevard Saint-Michel, cet établissement prestigieux est voisin du majestueux Palais du Luxembourg et de ses jardins verdoyants, sans oublier le célèbre Panthéon. Les amateurs de champagne seront ravis de savourer un verre au bar de l'hôtel, ouvert à tous, pour un moment de détente et de raffinement.",75005,Paris,Paris,Île-de-France,Paris,Métropole du Grand Paris
Adagio Paris Haussmann Champs-Elysées,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hébergement collectif', 'Résidence de tourisme']",48.875008,2.3133361,129-131 boulevard Haussmann,Paris je t'aime - Office de Tourisme,2026-03-20, https://www.adagio-city.com/fr/hotel-6793-aparthotel-adagio-paris-haussmann/index.shtml,4 étoiles#Classement officiel des hébergements touristiques,"Idéalement placé près de la Place de l'Étoile, de la gare Saint Lazare et de la Place de la Concorde, cet Aparthotel offre 53 appartements confortables. Ce bâtiment de 7 étages allie élégance et prestations haut de gamme avec des matériaux de qualité comme le marbre, le granit et le verre sablé. Les façades en pierre de taille et les balcons en fer forgé séduiront les plus exigeants. Les doubles vitrages assurent une tranquillité absolue, offrant un havre de paix en plein cœur de la ville.",75008,Paris,Paris,Île-de-France,Paris,Métropole du Grand Paris
Hôtel Atrium,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hôtel', 'Hôtellerie']",48.866905,2.2208033,68-72 boulevard Henri-Sellier,Paris je t'aime - Office de Tourisme,2026-03-20, http://www.latriumhotel.com/,3 étoiles#Classement officiel des hébergements touristiques,"Idéalement situé près du tramway Suresnes-Longchamps, l'hôtel Atrium de Suresnes*** vous accueille dans un cadre paisible. Rénové en 2014, ses 49 chambres offrent confort et modernité pour un séjour agréable. Sa terrasse offre une vue panoramique sur Paris, la Tour Eiffel et les Tours de la Défense. L'atmosphère chaleureuse et conviviale vous garantira un séjour inoubliable. Réservez dès maintenant pour vivre une expérience unique à l'hôtel Atrium de Suresnes*** !",92150,Suresnes,Hauts-de-Seine,Île-de-France,Suresnes,Métropole du Grand Paris
Hilton Paris Opera,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hôtel', 'Hôtellerie']",48.8756,2.3255582,108 rue Saint-Lazare,Paris je t'aime - Office de Tourisme,2026-03-20, http://www.parisopera.hilton.com/,4 étoiles#Classement officiel des hébergements touristiques,"Idéalement situé au cœur de Paris, dans le quartier de l’Opéra, cet hôtel attire les passionnés de shopping. Son hall majestueux, classé monument historique, est devenu un somptueux Grand Salon lumineux. Un restaurant ""street food"" ouvrira en 2023 avec une cuisine élaborée par le Chef Mathieu Afonso. Une grande terrasse parisienne permettra de savourer un cocktail exclusif et de s'évader le temps d'une journée.",75008,Paris,Paris,Île-de-France,Paris,Métropole du Grand Paris
Le Relais des Halles,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hôtel', 'Hôtellerie']",48.863216,2.3489459,26 rue Pierre Lescot,Paris je t'aime - Office de Tourisme,2026-03-20, https://www.hotel-relais-des-halles.com/,4 étoiles#Classement officiel des hébergements touristiques,"Situé au cœur de Paris, l'hôtel Le Relais des Halles propose 19 chambres élégantes, dont une suite irrésistible. Son ambiance chaleureuse promet un séjour cosy. Niché dans un édifice du XVIIe siècle, proche de l'église Saint Eustache et du Musée Georges Pompidou, l'établissement est bien desservi par les transports en commun. Idéal pour explorer le cœur historique de la capitale.",75001,Paris,Paris,Île-de-France,Paris,Métropole du Grand Paris
Citadines Les Halles Paris,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hébergement collectif', 'Résidence de tourisme']",48.860703,2.3469937,4 rue des Innocents,Paris je t'aime - Office de Tourisme,2026-03-20, https://www.discoverasr.com/fr/citadines/france/citadines-les-halles-paris,4 étoiles#Classement officiel des hébergements touristiques,"Idéalement situé au cœur du Forum des Halles, Citadines Les Halles Paris offre 189 studios et appartements 2 pièces rénovés, ainsi que des salles de réunion. Le personnel local facilitera votre installation à Paris. Découvrez les quais de Seine, l'Ile de la Cité, le Centre Pompidou et la Place du Châtelet. Profitez de services personnalisés pour un séjour adapté à votre style de vie et budget. Une adresse appartenant à The Ascott Limited.",75001,Paris,Paris,Île-de-France,Paris,Métropole du Grand Paris
Hôtel Beaugrenelle Saint-Charles Tour Eiffel,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hôtel', 'Hôtellerie']",48.847233,2.2859352,82 rue Saint-Charles,Paris je t'aime - Office de Tourisme,2026-03-20, http://www.beaugrenelleparis.com/,3 étoiles#Classement officiel des hébergements touristiques,"Idéalement situé près de la Tour Eiffel et de la Porte de Versailles, l'hôtel Beaugrenelle Saint Charles Tour Eiffel propose 50 chambres confortables. Dès 13 heures, plongez dans une atmosphère chaleureuse. Profitez du wifi gratuit et d'un petit-déjeuner buffet disponible à partir de 7 heures. Un parking sécurisé se trouve à 50 mètres. Découvrez le quartier animé de Beaugrenelle avec ses commerces et brasseries. Une immersion authentique au cœur de Paris vous attend.",75015,Paris,Paris,Île-de-France,Paris,Métropole du Grand Paris
Campanile Paris XIV- Maine Montparnasse,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hôtel', 'Hôtellerie']",48.834316,2.3239324,146 avenue du Maine,Paris je t'aime - Office de Tourisme,2026-03-20, http://campanile-paris-14-maine-montparnasse.fr/,3 étoiles#Classement officiel des hébergements touristiques,"Découvrez le Campanile Paris XIV - Maine Montparnasse pour des instants conviviaux inoubliables ! Partagez des moments chaleureux en famille, entre amis ou entre collègues dans un cadre accueillant. Profitez de nos nombreux services pour un séjour inoubliable. Les chambres offrent un confort moderne avec literie haut de gamme, salle de bain équipée, écrans plats LCD et wifi gratuit. Réservez dès maintenant pour vivre bien plus qu'une simple nuit !",75014,Paris,Paris,Île-de-France,Paris,Métropole du Grand Paris
Hôtel du Cheval Blanc,"['Restauration', 'Lieu', ""Point d'intérêt"", 'Restaurant', 'Hébergement', 'Hôtel', 'Hôtel-restaurant', 'Hôtellerie']",48.83816,2.753102,"2, rue de Lagny",Office de Tourisme de Marne et Gondoire,2025-12-09, https://www.chevalblanchotel.com/<> https://chevalblanchotel.com/,4 étoiles#Classement officiel des hébergements touristiques,"L’hôtel du Cheval Blanc - Paris Marne la Vallée, est un ancien relais de poste du XVIIIe siècle rénové avec soin par le studio d’architectes Rouge Absolu. Situé dans la  commune paisible de Jossigny et offre un cadre authentique à la campagne.",77600,Jossigny,Seine-et-Marne,Île-de-France,Jossigny,CA Marne et Gondoire
Radisson Blu CDG Airport Terminal Hotel,"['Restauration', 'Lieu', ""Point d'intérêt"", 'Restaurant', 'Hébergement', 'Hôtel', 'Hôtel-restaurant', 'Hôtellerie']",49.010922,2.5624,Roissypole / Cs 10008 3 Bis Rue De La Haye,Choose Paris Region,2026-04-16, https://www.radissonhotels.com/fr-fr/hotels/radisson-blu-paris-roissy-CDG-airport,4 étoiles#Classement officiel des hébergements touristiques,Idéalement situé à quelques pas du Terminal 3 de l'aéroport Charles de Gaulle et directement relié à la gare RER B « Aéroport Charles de Gaulle 1 »,93290,Tremblay-en-France,Seine-Saint-Denis,Île-de-France,Tremblay-en-France,Métropole du Grand Paris
Best Western Amarys Hôtel & Spa,"['Restauration', 'Lieu', ""Point d'intérêt"", 'Restaurant', 'Hébergement', 'Hôtel', 'Hôtel-restaurant', 'Hôtellerie']",48.644728,1.844943,73 rue de la Louvière,Rambouillet Territoires,2026-04-08, http://www.hotel-rambouillet.fr/,3 étoiles#Classement officiel des hébergements touristiques,"Hôtel Best Western Amarys, confort et détente au cœur des Yvelines.",78120,Rambouillet,Yvelines,Île-de-France,Rambouillet,CA Rambouillet Territoires
La table de Baptiste,"['Restauration', 'Lieu', ""Point d'intérêt""]",48.645,1.8452,73 rue de la Louvière,Rambouillet Territoires,2026-02-24, http://www.hotel-rambouillet.fr/,,"La Table de Baptiste, le restaurant savoureux de l'Hôtel Best Western Amarys à Rambouillet.",78120,Rambouillet,Yvelines,Île-de-France,Rambouillet,CA Rambouillet Territoires
Natur'elle Spa,"['Lieu', ""Point d'intérêt"", 'Site sportif, récréatif et de loisirs', 'Hammam']",48.644728,1.844943,73 rue de la Louvière,Rambouillet Territoires,2026-03-04, http://www.hotel-rambouillet.fr/,,"Natur’elle Spa, pause bien-être au cœur des Yvelines au Best Western Amarys.",78120,Rambouillet,Yvelines,Île-de-France,Rambouillet,CA Rambouillet Territoires
"Chateau de Sceaux, musée départemental","['Site culturel', 'Musée', 'Lieu', ""Point d'intérêt""]",48.774306,2.300107,"8, avenue Claude-Perrault",Conseil Départemental des Yvelines,2025-09-16, http://domaine-de-sceaux.hauts-de-seine.fr/,Accueil Vélo#France Vélo Tourisme,"Le Domaine départemental de Sceaux est l'ancienne propriété des Colbert. Le parc offre de superbes jardins créés par Le Nôtre. 
A voir : le Château, le Pavillon de l’Aurore et son animation en réalité virtuelle, l’Orangerie et sa galerie de sculptures...",92330,Sceaux,Hauts-de-Seine,Île-de-France,Sceaux,Métropole du Grand Paris
"Domaine de Sceaux, Parc et Musée Départementaux","['Lieu', ""Point d'intérêt"", 'Site naturel']",48.775551,2.302382,"8, avenue Claude-Perrault",Conseil Départemental des Yvelines,2025-09-16, http://domaine-de-sceaux.hauts-de-seine.fr/,Accueil Vélo#France Vélo Tourisme,Un parc grandiose à la française sous la signature du célèbre jardinier du Roi Louis XIV. C'est l'un des plus beaux lieux de promenade en Ile-de-France,92330,Sceaux,Hauts-de-Seine,Île-de-France,Sceaux,Métropole du Grand Paris
Hôtel Novotel Paris Roissy CDG Convention,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hôtel', 'Hôtellerie']",48.998898,2.51761,10 allée du Verger,Office de Tourisme Grand Roissy,2026-01-12, https://all.accor.com/hotel/5418/index.fr.shtmlorigin=novotel,4 étoiles#Classement officiel des hébergements touristiques,"Hôtel d’affaires situé à 3 km de l’aéroport International Paris Roissy CDG et des Parcs des Expositions de Villepinte et du Bourget, au coeur du village de Roissy En France.",95700,Roissy-en-France,Val-d'Oise,Île-de-France,Roissy-en-France,CA Roissy Pays de France
Novotel Paris Roissy CDG Convention,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hôtel', 'Hôtellerie']",48.999016,2.5174482,10 allée du Verger,Paris je t'aime - Office de Tourisme,2026-03-20, http://www.novotel.com/,Tourisme & Handicap auditif#Marque Tourisme et Handicap|Tourisme & Handicap visuel#Marque Tourisme et Handicap|4 étoiles#Classement officiel des hébergements touristiques|Tourisme & Handicap mental#Marque Tourisme et Handicap|Tourisme & Handicap moteur#Marque Tourisme et Handicap,"Découvrez un hôtel confortable près de l'aéroport de Roissy CDG, avec des chambres spacieuses de 25m² minimum et un Wellness Club complet. Savourez la cuisine du Chef et détendez-vous en famille avant votre vol. Profitez de la navette gratuite pour l'aéroport et explorez les attractions parisiennes telles que la Tour Eiffel, Notre Dame et le Louvre. Disneyland Paris et le Parc Astérix sont également à portée de main depuis l'hôtel.",95700,Roissy-en-France,Val-d'Oise,Île-de-France,Roissy-en-France,CA Roissy Pays de France
Novotel Paris Roissy Convention,"['Lieu', ""Point d'intérêt"", 'Produit', 'Site sportif, récréatif et de loisirs', ""Site d'affaires"", 'Location', 'Centre de congrès', 'Location de salle']",48.998898,2.51761,10 allée du Verger,Office de Tourisme Grand Roissy,2021-07-06, https://all.accor.com/hotel/5418/index.fr.shtmlorigin=novotel,,"Au coeur d’un carrefour géographique, le Novotel Paris Roissy CDG Convention est situé à 3 km de l’Aéroport international Paris Roissy-CDG et des Parcs des Expositions de Villepinte et du Bourget, dans le village de Roissy-en-France.",95700,Roissy-en-France,Val-d'Oise,Île-de-France,Roissy-en-France,CA Roissy Pays de France
Le Parc des Roches,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Camping', 'Hôtellerie de plein air']",48.538344,2.13053,La Petite Beauce,Dourdan Tourisme,2024-12-17, https://www.tohapi.fr/ile-de-france/camping-parc-des-roches.php,3 étoiles#Classement officiel des hébergements touristiques,"Pour des vacances au cœur de l’Ile de France, séjournez au camping Tohapi Paris Sud !",91530,Saint-Chéron,Essonne,Île-de-France,Saint-Chéron,CC le Dourdannais en Hurepoix (CCDH)
Mercure Paris 9ème Pigalle Sacré-Cœur,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hôtel', 'Hôtellerie']",48.88238,2.3365123,21 boulevard de Clichy,Paris je t'aime - Office de Tourisme,2026-03-20, http://www.accorhotels.com/gb/hotel-A025-mercure-paris-pigalle-sacre-coeur/index.shtml,4 étoiles#Classement officiel des hébergements touristiques,"Découvrez le Mercure Paris 9ème Pigalle Sacré-Cœur, hôtel 4 étoiles rénové, entre Montmartre et SoPi. À 5 min du Moulin Rouge et en face du métro Pigalle, son emplacement est idéal. Les 62 chambres au design inspiré vous plongent dans une atmosphère unique. Les 16 chambres prestiges offrent une vue sur le Sacré-Cœur ou une cour intérieure. Une escapade confortable et authentique vous attend dans cet établissement.",75009,Paris,Paris,Île-de-France,Paris,Métropole du Grand Paris
Adagio Access La Défense Puteaux,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hébergement collectif', 'Résidence de tourisme']",48.88484,2.2442746,70 rue Roque de Fillol,Paris je t'aime - Office de Tourisme,2026-03-20, https://www.adagio-city.com/fr/hotel-8987-aparthotel-adagio-access-la-defense-puteaux/index.shtml,3 étoiles#Classement officiel des hébergements touristiques,"Idéalement situé entre la Défense et les Champs-Elysées, cet appart'hôtel offre un emplacement privilégié au cœur de Paris. Parfait pour les voyageurs d'affaires et les touristes en quête de confort et de praticité, il permet de profiter des activités économiques et attractions de la capitale. Grâce à ses services de qualité et son ambiance chaleureuse, il garantit une expérience agréable et enrichissante.",92800,Puteaux,Hauts-de-Seine,Île-de-France,Puteaux,Métropole du Grand Paris
Aparthotel Adagio Access La Défense Puteaux,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hôtel', 'Hôtellerie']",48.884731,2.244455,70 rue Roque de Fillol,Conseil Départemental des Yvelines,2024-06-10, https://www.adagio-city.com/fr/hotel-8987-aparthotel-adagio-access-la-defense-puteaux/index.shtml?merchantid=ppc-adg-mar-goo-fr-fr-sear&sourceid=bp-cen&utm_source=google&utm_medium=cpc&utm_campaign=ppc-adg-mar-goo-fr-fr-fr-mix-sear-bp&utm_term=mar&utm_content=fr-fr-FR-V3217&et_keyword=hotel+adagio+access+puteaux&et_campaign=18813241909&et_device=c&et_matchtype=e&gad_source=1&gclid=CjwKCAjw34qzBhBmEiwAOUQcF5C9qypvekHH-R_DW_bn9ydqyRNCOXcyeZle9Y-3mi-y1QANc-ilDRoC0QEQAvD_BwE,Accueil Vélo#France Vélo Tourisme|3 étoiles#Classement officiel des hébergements touristiques,"L'Adagio access La Défense Puteaux est idéalement situé dans le quartier d'affaires de la Défense, tout proche de la l'U-Arena et de la Grande Arche.",92800,Puteaux,Hauts-de-Seine,Île-de-France,Puteaux,Métropole du Grand Paris
Citadines Bastille Gare de Lyon Paris,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hébergement collectif', 'Résidence de tourisme']",48.84632,2.3838778,14-18 rue de Chaligny,Paris je t'aime - Office de Tourisme,2026-03-20, https://www.discoverasr.com/fr/citadines/france/citadines-bastille-gare-de-lyon-paris/,3 étoiles#Classement officiel des hébergements touristiques,"Idéalement situé dans le quartier de Bastille-Nation-Gare de Lyon, Citadines Bastille Gare de Lyon Paris est parfait pour votre séjour à Paris. À proximité de la Gare de Lyon, profitez de l'atmosphère parisienne et explorez les attractions locales telles que le marché de la Place d’Aligre, l'Opéra Bastille et le Viaduc des Arts. Nos 98 studios et appartements confortables, comprenant un charmant patio, offrent une expérience unique. Appartenant au groupe The Ascott Limited, notre résidence propose des services personnalisés pour un séjour sur mesure.",75012,Paris,Paris,Île-de-France,Paris,Métropole du Grand Paris
Mercure Paris Gare Montparnasse,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hôtel', 'Hôtellerie']",48.838005,2.318538,20 rue de la Gaîté,Paris je t'aime - Office de Tourisme,2026-03-20, http://www.mercure.com/fr/hotel-0905-mercure-paris-gare-montparnasse/index.shtml,Tourisme & Handicap auditif#Marque Tourisme et Handicap|Tourisme & Handicap visuel#Marque Tourisme et Handicap|4 étoiles#Classement officiel des hébergements touristiques|Tourisme & Handicap mental#Marque Tourisme et Handicap|Tourisme & Handicap moteur#Marque Tourisme et Handicap,"Idéalement situé au cœur de Paris, l'hôtel 4 étoiles Mercure Paris Gare Montparnasse vous accueille rue de la Gaité, à proximité de la gare Montparnasse. Profitez de son emplacement central pour découvrir les quartiers animés de Saint-Germain des Prés et de Saint-Michel, ainsi que les sites historiques comme les Invalides. Notre établissement propose des services de qualité, incluant une cuisine raffinée, des dégustations de vins et des chambres confortables pour un séjour relaxant.",75014,Paris,Paris,Île-de-France,Paris,Métropole du Grand Paris
Europe Hotel Paris Eiffel,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hôtel', 'Hôtellerie']",48.849586,2.2969983,103 boulevard de Grenelle,Paris je t'aime - Office de Tourisme,2026-03-20, http://www.europehotelparis.com/,3 étoiles#Classement officiel des hébergements touristiques,"Idéalement situé à deux pas de la Tour Eiffel, dans un quartier animé et commerçant, l’Europe Hotel Paris Eiffel vous garantit un confort optimal et une tranquillité appréciable. Sa localisation vous permet d'accéder rapidement au Parc des Expositions de la Porte de Versailles tout en restant à proximité de l'effervescence magique de Paris. Profitez d'un séjour alliant praticité et sérénité au cœur de la capitale.",75015,Paris,Paris,Île-de-France,Paris,Métropole du Grand Paris
Hôtel & Spa La Belle Juliette,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hôtel', 'Hôtellerie']",48.847523,2.322534,92 rue du Cherche-Midi,Paris je t'aime - Office de Tourisme,2026-03-20, http://www.hotel-belle-juliette-paris.com/fr/,4 étoiles#Classement officiel des hébergements touristiques,"Découvrez l'Hôtel & Spa La Belle Juliette, un hommage à Juliette Recamier. Dans un cadre chaleureux et raffiné, profitez d'une décoration unique signée par Anne Gelbard. Offrez-vous une parenthèse de bien-être dans son spa bio prestigieux. Les salons et le bar sont parfaits pour les rencontres, faisant de La Belle Juliette un lieu incontournable pour les amateurs de belles expériences.",75006,Paris,Paris,Île-de-France,Paris,Métropole du Grand Paris
