Nom_du_POI,Categories_de_POI,Latitude,Longitude,Adresse_postale,Createur_de_la_donnee,Date_de_mise_a_jour,Contacts_du_POI,Classements_du_POI,Description,CP,Ville,nom_departement,nom_region,nom_membre,raison_sociale
Crêperie du port,"['Restauration', 'Lieu', ""Point d'intérêt"", 'Restaurant']",49.362606,0.085536,30 Bd Fernand Moureaux,OT Trouville,2026-01-07,,Famille plus#Famille plus,"Véritable crêperie de tradition, nous confectionnons devant les clients des crêpes et des galettes dans le respect de la qualité. 
Le chef (breton) utilise des produits frais et favorise le ""fait maison"".
Il a  choisi de travailler avec des artisans...",14360,Trouville-sur-Mer,Calvados,Normandie,Trouville-sur-Mer,CC Coeur Côte Fleurie
Club de la Plage,"['Lieu', ""Point d'intérêt"", 'Site sportif, récréatif et de loisirs', 'Club de plage']",49.369664,0.080588,Les Planches Promenade Savignac,OT Trouville,2026-01-06, https://www.trouville.fr/,Famille plus#Famille plus,"Le Club de la Plage de Trouville-sur-Mer, situé à côté du complexe nautique du front de mer, accueille les enfants âgés de 6 à 12 ans durant l'été. Il est ouvert de 9h00 à 12h00 et de 13h30 à 17h00, et est fermé les jours fériés. Pour connaître les...",14360,Trouville-sur-Mer,Calvados,Normandie,Trouville-sur-Mer,CC Coeur Côte Fleurie
Mini-Golf et promenade à poney,"['Lieu', ""Point d'intérêt"", 'Site sportif, récréatif et de loisirs', 'Mini golf']",49.3668366,0.07767677,Les Planches Promenade Savignac,OT Trouville,2026-04-19,,Famille plus#Famille plus,"Mini-golf et tours de poney, situé directement sur la plage, le long de la promenade des planches.

L'établissement propose :

- un parcours de minigolf de 18 pistes au tarif de 5€ par personnes et une offre préférentielle : 1 gratuité pour 4 entrés...",14360,Trouville-sur-Mer,Calvados,Normandie,Trouville-sur-Mer,CC Coeur Côte Fleurie
Abeille Parachutisme,"['Lieu', ""Point d'intérêt"", 'Site sportif, récréatif et de loisirs']",49.4239614,0.2289354,123 Rue Haute,OT Honfleur-Beuzeville,2026-03-24, https://visites.ot-honfleur.fr/loisirs/abeille-parachutisme/01-saut-en-parachute-abeille-parachutisme https://www.abeilleparachutisme.fr/<> https://fr-fr.facebook.com/AbeilleParachutisme,Qualité Tourisme#Qualité Tourisme,"2 sites d'exception pour une expérience unique et pleine de sensations...
Partez à la découverte de votre territoire en survolant les falaises d'Etretat ou la Baie du Mont Saint Michel avec des parachutistes professionnels.
Pour commencer 15 minutes...",14600,Honfleur,Calvados,Normandie,Honfleur,CC du Pays de Honfleur-Beuzeville
Le Domaine de la  Gentilhommière,"['Site culturel', 'Lieu', ""Point d'intérêt"", 'Fournisseur de dégustation']",49.7949423,1.326005,Le Bourg 30 route de Neufchâtel,Seine-Maritime Attractivité,2026-05-04, https://commande.kuupanda.com/producteur/8938/particulier<> https://cidrerie-gentilhommiere.com/,Bienvenue à la ferme#Bienvenue à la ferme|Agriculture Biologique#Agriculture Biologique,"Installée à Osmoy-Saint-Valery, près de Neufchâtel-en-Bray (10 minutes), sur l’axe Neufchâtel-en-Bray – Dieppe, la Cidrerie de la Gentilhommière est une exploitation cidricole biologique de 5,5 hectares, fondée en 1997. Depuis près de 30 ans, nous...",76660,Osmoy-Saint-Valery,Seine-Maritime,Normandie,Osmoy-Saint-Valery,CC de Londinières
Gîte le clos des Nandous,"[""Point d'intérêt"", 'Hébergement', 'Hébergement locatif', 'Meublés de tourisme', 'Lieu']",49.5026916,0.3834488,273 chemin du Perron St Jean d'Abbetot,Office de Tourisme Le Havre Etretat Normandie,2026-05-04,,3 étoiles#Classement officiel des hébergements touristiques|Famille plus#Famille plus|Chambre d'hôtes référence#Chambre d'hôtes référence,"Nous habitons une ancienne étable datant de 1881, située dans un clos masure. Vous séjournerez dans un espace  récemment rénové. Vous pourrez découvrir la Normandie, vous reposer et découvrir les animaux de notre ferme : les alpagas, les ânes, les...",76430,La Cerlangue,Seine-Maritime,Normandie,La Cerlangue,CU Le Havre Seine Métropole
Le Paléospace - Musée de France,"['Site culturel', 'Musée', 'Lieu', ""Point d'intérêt""]",49.3278776,0.0133227,5 avenue Jean Moulin,OT SPL Deauville,2026-04-02, http://www.paleospace-villers.fr/<> https://www.facebook.com/p/Pal%C3%A9ospace-100057487088671/?locale=fr_FR https://www.paleospace-villers.fr/billetterie/,Qualité Tourisme#Qualité Tourisme|Accueil Vélo#France Vélo Tourisme,"Plongez au coeur du jurassique ! Il y a 160 millions d’années, les dinosaures régnaient sur Terre et la mer qui couvrait la Normandie était peuplée de féroces reptiles marins…

Découvrez les grands squelettes de ces redoutables prédateurs (Anna...",14640,Villers-sur-Mer,Calvados,Normandie,Villers-sur-Mer,CC Coeur Côte Fleurie
Aire de camping-car privée Le Domaine du Perrey Picot,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hôtellerie de plein air', 'Aire de camping-car']",48.9387286,0.16149899,Saint-Germain-de-Montgommery 1675 route du Perrey Picot David GAUTARD,OT Lisieux Normandie Tourisme,2026-04-20,,Bienvenue à la ferme#Bienvenue à la ferme,"Aire de stationnement pour camping-cars dans une ferme  (production cidricole) située à Saint Germain de Montgommery, non loin de Livarot, au cœur du Pays d'Auge.",14140,Val-de-Vie,Calvados,Normandie,Val-de-Vie,CA Lisieux Normandie
Le Bas Vaucanu,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hébergement locatif', 'Meublés de tourisme']",48.9399117,0.1855978,Saint-Germain-de-Montgommery Le Bas Vaucanu,OT Lisieux Normandie Tourisme,2026-03-07, https://www.gites-de-france-calvados.fr/fiche-hebergement-353.html,Bienvenue à la ferme#Bienvenue à la ferme,"Au coeur d'une ferme typique du Pays d'Auge, cet agréable gîte à colombages ouvre sur un verger et un jardin exposé au sud. Les enfants apprécieront les jeux mis à disposition. Vous pourrez déguster sur place les produits cidricoles et visiter la...",14140,Val-de-Vie,Calvados,Normandie,Val-de-Vie,CA Lisieux Normandie
Hôtel Ibis Caen Porte d'Angleterre,"['Restauration', 'Lieu', ""Point d'intérêt"", 'Restaurant', 'Hébergement', 'Hôtel', 'Hôtel-restaurant', 'Hôtellerie']",49.1968281,-0.3358554,Boulevard du Grand Parc Le Parc 6 4 Quartier Savary,OT Caen la Mer,2026-01-30, https://all.accor.com/ssr/app/ibis/rates/0605/index.fr.shtml https://all.accor.com/ssr/app/ibis/rates/0605/index.fr.shtml,3 étoiles#Classement officiel des hébergements touristiques|Qualité Tourisme#Qualité Tourisme|Clef Verte#Clef verte,"Situé à 15 km de l'aéroport de Caen-Carpiquet, l'hôtel Ibis Caen Porte d'Angleterre propose à la réservation 82 chambres, équipées WiFi, dont 2 adaptées aux personnes à mobilité réduite. 3 salles de réunion sont disponibles dans l'enceinte de...",14200,Hérouville-Saint-Clair,Calvados,Normandie,Hérouville-Saint-Clair,CU Caen la Mer
Appart'City Caen,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hébergement collectif', 'Résidence de tourisme']",49.2106798,-0.3589208,1 ter rue Claude Bloch,OT Caen la Mer,2026-05-06, http://www.appartcity.com/,3 étoiles#Classement officiel des hébergements touristiques|Clef Verte#Clef verte,La résidence 3 étoiles Appart'City Caen est située à proximité du Mémorial de Caen et du parc d'activité tertiaire du Citis et est reliée au centre-ville par le tramway. Elle comprend 107 appartements du T1 au T3 entièrement équipés : cuisine avec...,14000,Caen,Calvados,Normandie,Caen,CU Caen la Mer
Camping les Bas Carreaux,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Camping', 'Hôtellerie de plein air']",49.3351005,-0.6347989,Route de la mer,OT Bayeux Intercom,2026-01-23, http://campinglesbascarreaux.com/<> https://www.facebook.com/CAMPING-LES-BAS-CARREAUX-206435976067379/,2 étoiles#Classement officiel des hébergements touristiques,"Le camping est situé non loin d'un site unique : le petit village d'Arromanches, connu pour avoir été le port artificiel lors du débarquement de Juin 1944. Aux Bas Carreaux, il fait bon vivre et les vacanciers goûtent aux joies familiales des bains...",14117,Tracy-sur-Mer,Calvados,Normandie,Tracy-sur-Mer,CC de Bayeux Intercom
La Table du Lion,"['Restauration', 'Lieu', ""Point d'intérêt"", 'Restaurant', 'Hébergement', 'Hôtel', 'Hôtel-restaurant', 'Hôtellerie']",49.2763208,-0.6984318,71 rue Saint Jean,OT Bayeux Intercom,2026-01-10, https://secure.reservit.com/rsl/booking/indexmodal.php?customerid=1646 http://www.liondor-bayeux.fr/<> https://www.facebook.com/tabledulion/?ref=bookmarks<> https://www.instagram.com/lionnecalvados/,Qualité Tourisme#Qualité Tourisme,"Ancien relais de poste du XVIIIe siècle.
Dans le centre-ville de Bayeux, le restaurant La Table du Lion dispose d’une grande cour, souvenir du passé de Relais de Poste de l'établissement. Profitez de ce cadre préservé, à l’écart de l’animation...",14400,Bayeux,Calvados,Normandie,Bayeux,CC de Bayeux Intercom
Hôtel Le Lion d'Or,"['Restauration', 'Lieu', ""Point d'intérêt"", 'Restaurant', 'Hébergement', 'Hôtel', 'Hôtel-restaurant', 'Hôtellerie']",49.2763208,-0.6984318,71 rue Saint Jean,OT Bayeux Intercom,2026-05-05, https://www.secure-hotel-booking.com/smart/Hotel-Le-Lion-d-Or/2CIR/fr<> https://www.liondor-bayeux.fr/ http://www.liondor-bayeux.fr/<> https://www.facebook.com/leliondorbayeux/<> https://www.instagram.com/hotelleliondorbayeux/,4 étoiles#Classement officiel des hébergements touristiques|Qualité Tourisme#Qualité Tourisme,"Ancien relais de poste du 18e siècle, situé au cœur de la vieille ville de Bayeux, l'hôtel Le Lion d'Or comporte 34 chambres toutes équipées avec TV Satellite. L’établissement dispose également d’un restaurant élaborant une cuisine à base de...",14400,Bayeux,Calvados,Normandie,Bayeux,CC de Bayeux Intercom
Hôtel Le Déclic,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hôtel', 'Hôtellerie']",49.2793281,-0.7071123,20 rue Alain Chartier,OT Bayeux Intercom,2026-01-10, https://www.ledeclichotel.fr/<> https://www.facebook.com/people/Le-Declic-Hotel/61570856039519/,2 étoiles#Classement officiel des hébergements touristiques,"A proximité des sites incontournables de Bayeux, l'hôtel Le Déclic 2 étoiles est un hôtel familial situé en centre ville. Chacune des 14 chambres sont différentes, certaines ont vue sur la place du marché d'autres sur la cour intérieure. Parking...",14400,Bayeux,Calvados,Normandie,Bayeux,CC de Bayeux Intercom
La Tuilerie,"['Lieu', ""Point d'intérêt"", 'Hébergement', ""Chambre d'hôtes"", 'Hébergement locatif']",49.099,0.264,631 route du sap,OT Lisieux Normandie Tourisme,2026-05-06,,Gîtes de France#Gîtes de France,"À 6 minutes de Lisieux, dans la campagne Normande, Françoise et Jacques vous accueillent à la Tuilerie, grande propriété de la fin du 19ème siècle, entourée d'un parc où vous pourrez vous balader. En été, profitez du jardin au soleil sans vis-à-vis,...",14100,Le Mesnil-Guillaume,Calvados,Normandie,Le Mesnil-Guillaume,CA Lisieux Normandie
Hôtel THALAZUR Ouistreham,"['Restauration', 'Lieu', ""Point d'intérêt"", 'Restaurant', 'Hébergement', 'Hôtel', 'Hôtel-restaurant', 'Hôtellerie']",49.2892949,-0.2618069,Boulevard du Commandant Kieffer,OT Caen la Mer,2026-05-06, https://www.thalazur.fr/hotel-rivabella/<> https://www.facebook.com/ThalazurOuistreham/<> https://www.instagram.com/ThalazurOuistreham,4 étoiles#Classement officiel des hébergements touristiques|Qualité Tourisme#Qualité Tourisme|Accueil Vélo#France Vélo Tourisme|Clef Verte#Clef verte,"Les pieds dans l'eau...
A proximité du centre ville et à 2 heures de Paris, l'hôtel 4* Thalassothérapie & spa Thalazur Ouistreham est idéalement situé face à la mer. 
Laissez place au ""mieux-être"" et au ""lâcher-prise"" grâce aux compétences de nos...",14150,Ouistreham,Calvados,Normandie,Ouistreham,CU Caen la Mer
Le Riva Bella Restaurant - Thalazur,"['Restauration', 'Lieu', ""Point d'intérêt"", 'Restaurant', 'Hébergement', 'Hôtel', 'Hôtel-restaurant', 'Hôtellerie']",49.2894838,-0.2609164,Boulevard du Commandant Kieffer,OT Caen la Mer,2026-05-06, https://www.thalazur.fr/hotel-rivabella<> https://www.facebook.com/ThalazurOuistreham<> https://www.instagram.com/ThalazurOuistreham,Qualité Tourisme#Qualité Tourisme,"Hôtel, Thalassothérapie & spa, esthétique, abonnements spa marin & fitness, séminaires.

Notre restaurant ""Le Riva Bella"" ouvert sur les dunes de Ouistreham vous accueille dans une ambiance tout en élégance et sobriété. Les richesses du terroir et...",14150,Ouistreham,Calvados,Normandie,Ouistreham,CU Caen la Mer
Thalazur Ouistreham,"['Lieu', ""Point d'intérêt"", 'Site sportif, récréatif et de loisirs']",49.289595,-0.2602696,Boulevard du Commandant Kieffer,OT Caen la Mer,2026-05-06, https://www.thalazur.fr/thalasso-ouistreham/<> https://www.facebook.com/ThalazurOuistreham<> https://www.instagram.com/ThalazurOuistreham,Qualité Tourisme#Qualité Tourisme,"Les pieds dans l'eau...
A proximité du centre-ville et à 2 heures de Paris, l'hôtel 4* Thalassothérapie & spa Thalazur Ouistreham est idéalement situé face à la mer. 
Laissez place au ""mieux-être"" et au ""lâcher-prise"" grâce aux compétences de nos...",14150,Ouistreham,Calvados,Normandie,Ouistreham,CU Caen la Mer
Hôtel Ibis Styles Caen centre gare,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hôtel', 'Hôtellerie']",49.1793696,-0.3468761,52 quai Amiral Hamelin,OT Caen la Mer,2026-05-06, https://all.accor.com/ssr/app/ibis/rates/9086/index.fr.shtml https://all.accor.com/ssr/app/ibis/rates/9086/index.fr.shtml<> https://www.facebook.com/ibisStylesCaenCentreGare/?locale=fr_FR<> https://www.instagram.com/ibisstylescaencentregare/,3 étoiles#Classement officiel des hébergements touristiques|Clef Verte#Clef verte,"L'Ibis Styles Caen Centre Gare met à votre disposition une salle de fitness, un bar proposant également des plateaux repas 24h/24, des chambres pouvant accueillir les familles, un espace de jeux dédié aux enfants ainsi qu'un parking payant sécurisé...",14000,Caen,Calvados,Normandie,Caen,CU Caen la Mer
Hôtel Ibis Styles Caen Centre historique,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hôtel', 'Hôtellerie']",49.1818436,-0.3659713,33 rue de Bras,OT Caen la Mer,2026-05-06, https://all.accor.com/ssr/app/ibis/rates/1012/index.fr.shtml https://all.accor.com/ssr/app/ibis/rates/1012/index.fr.shtml,3 étoiles#Classement officiel des hébergements touristiques|Qualité Tourisme#Qualité Tourisme|Clef Verte#Clef verte,"L'hôtel Ibis Styles Caen Centre Historique est idéalement situé dans le cœur historique de la ville et vous propose 58 chambres confortables et rénovées. 
Doté d'une décoration moderne vous pourrez également profiter d'un accès Wifi gratuit et de...",14000,Caen,Calvados,Normandie,Caen,CU Caen la Mer
Hôtel Kyriad Direct Caen Mémorial,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hôtel', 'Hôtellerie']",49.2008993,-0.396917,5 Rue du Clos Barbey,OT Caen la Mer,2026-05-06, https://direct-caen-nord-memorial.kyriad.com/fr-fr/ https://direct-caen-nord-memorial.kyriad.com/fr-fr/,2 étoiles#Classement officiel des hébergements touristiques,"Situé à Saint-Contest, en périphérie de Caen, à proximité du Mémorial et à 10 minutes du parc des expositions et du Zénith, l'Hôtel Kyriad Direct Caen Mémorial propose 73 chambres confortables. 

L'établissement  dispose d'un accès internet WiFi...",14280,Saint-Contest,Calvados,Normandie,Saint-Contest,CU Caen la Mer
Mercure Caen Centre Port de plaisance,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hôtel', 'Hôtellerie']",49.1845517,-0.3553901,1 rue de Courtonne CS 43086,OT Caen la Mer,2026-05-06, https://all.accor.com/hotel/0869/index.fr.shtml,4 étoiles#Classement officiel des hébergements touristiques|Qualité Tourisme#Qualité Tourisme|Clef Verte#Clef verte,"Situé au coeur du centre historique, le Mercure Caen Centre Port de Plaisance offre des chambres design entièrement rénovées dans un cadre chaleureux. 

Partenaire de vos événements professionnels avec ses 17 salles de séminaire et ses afterworks,...",14000,Caen,Calvados,Normandie,Caen,CU Caen la Mer
B&B Home Caen Centre Gare,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hébergement collectif', 'Résidence de tourisme']",49.1765274,-0.3546524,1 quai Eugène Meslin,OT Caen la Mer,2026-05-06, https://www.hotel-bb.com/fr/hotel/caen-centre-gare<> https://www.instagram.com/BB.HOME.CAEN.CENTRE.GARE,3 étoiles#Classement officiel des hébergements touristiques|Accueil Vélo#France Vélo Tourisme,"Située au cœur de Caen et à deux pas de la gare SNCF, la résidence hôtelière B&B Home Caen Centre Gare est à proximité directe du centre commercial les rives de l'Orne et à 15 minutes en voiture de la plage d'Ouistreham.

La résidence comporte 106...",14000,Caen,Calvados,Normandie,Caen,CU Caen la Mer
Camping Canadian Scottish,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Camping', 'Hôtellerie de plein air']",49.3350736,-0.4711857,Route d'Arromanches,OT Gold Beach,2026-04-15, http://campingcanadianscottish.jimdo.com/,2 étoiles#Classement officiel des hébergements touristiques,"Au coeur de l'histoire du débarquement, venez profiter de ce camping de bord de mer où vous trouverez convivialité et qualité. A proximité, activités et animations variées vous sont proposées : plage, musées, restaurants, ...",14470,Graye-sur-Mer,Calvados,Normandie,Graye-sur-Mer,CC Seulles Terre et Mer
Hôtel Ibis Port-en-Bessin,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hôtel', 'Hôtellerie']",49.3477463,-0.7540969,12 quai Baron Gérard,OT Bayeux Intercom,2026-02-11, http://www.ibishotel.com/,3 étoiles#Classement officiel des hébergements touristiques|Accueil Vélo#France Vélo Tourisme|Clef Verte#Clef verte,"L'hôtel Ibis Bayeux - Port en Bessin est situé au coeur du village de pêche de Port en Bessin, à proximité des plages du Débarquement. A deux pas du Golf 36 trous d'Omaha Beach. Entièrement rénové en 2024, l'hôtel propose 62 chambres climatisées,...",14520,Port-en-Bessin-Huppain,Calvados,Normandie,Port-en-Bessin-Huppain,CC de Bayeux Intercom
B&B HÔTEL Bayeux,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hôtel', 'Hôtellerie']",49.2692481,-0.7069881,Chemin de la Cambette Route de Saint Lo,OT Bayeux Intercom,2026-04-27, http://www.facebook.com/Premiere.Classe.Bayeux<> https://www.hotel-bb.com/fr/hotel/bayeux,2 étoiles#Classement officiel des hébergements touristiques|Accueil Vélo#France Vélo Tourisme,"Facilement accessible depuis la N13 (Caen – Cherbourg), sortie Bayeux Centre Historique n°37, l'hôtel B&B-Bayeux dispose d’une situation privilégiée pour vos déplacements d’affaires ou loisirs près des plages du Débarquement en Normandie, à 10...",14400,Bayeux,Calvados,Normandie,Bayeux,CC de Bayeux Intercom
A1-Village de la Mer,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hébergement locatif', 'Meublés de tourisme']",49.3345788,-0.4498879,66 avenue de la Combattante,Office de tourisme de Cœur de Nacre,2026-01-10,,2 étoiles#Classement officiel des hébergements touristiques,"Notre maison mitoyenne est située à Courseulles-sur-Mer,  une station balnéaire normande reconnue pour ses plages du Débarquement, en particulier Juno Beach, avec le Centre Juno Beach qui rend hommage aux soldats canadiens.  Son port de pêche et de...",14470,Courseulles-sur-Mer,Calvados,Normandie,Courseulles-sur-Mer,CC Coeur de Nacre
Aqua Sud,"['Lieu', ""Point d'intérêt"", 'Site sportif, récréatif et de loisirs']",48.9873911,-0.4749213,Thury-Harcourt 13 Route de Caen place Joseph Pitel,OT Suisse Normande,2026-02-23, https://aqua-sud.com/<> https://www.facebook.com/people/Centre-aquatique-AQUA-SUD/100057347085689/,Tourisme & Handicap visuel#Marque Tourisme et Handicap|Tourisme & Handicap mental#Marque Tourisme et Handicap|Tourisme & Handicap moteur#Marque Tourisme et Handicap,"Situé dans la vallée du Traspy, le centre aquatique vous propose de partager un moment agréable et convivial avec son bassin ludique chauffé à 29°, son bassin sportif de 25m. Pour les plus petits une pataugeoire, un champignon  aquatique, un...",14220,Thury-Harcourt-le-Hom,Calvados,Normandie,Thury-Harcourt-le-Hom,CC Cingal-Suisse Normande
B&B Rouen Centre Rive Gauche,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hôtel', 'Hôtellerie']",49.4317818,1.0824082,44 rue Amiral Cécille,Office de tourisme Rouen tourisme,2026-05-04, https://www.seine-maritime-tourisme.com/diffusio/fr/je-choisis/un-hebergement/hotel/rouen/bb-rouen-centre-rive-gauche-saint-sever_TFOHOTNOR076FS002AU.php https://www.hotel-bb.com/fr/hotel/rouen-centre-rive-gauche,3 étoiles#Classement officiel des hébergements touristiques|Clef Verte#Clef verte,"Idéalement situé pour vos déplacements professionnels ou loisirs, à proximité immédiate des accès routiers, l'hôtel se trouve à 50M de la station de métro Saint-Sever. Celle-ci permet de rejoindre en accès direct le quartier historique et les musées...",76100,Rouen,Seine-Maritime,Normandie,Rouen,Métropole Rouen Normandie
